"Repo","Name","RelPath","SizeKB","Hint"
"AmpliPi","fa-solid-900.svg","AmpliPi\web\static\css\libs\font-awesome\webfonts\fa-solid-900.svg","901","generic"
"AmpliPi","fa-solid-900.svg","AmpliPi\amplipi\updater\static\css\libs\font-awesome\webfonts\fa-solid-900.svg","901","generic"
"AmpliPi","fmradio.png","AmpliPi\web\static\imgs\fmradio.png","10.1","generic"
"AmpliPi","git_clone.jpg","AmpliPi\docs\imgs\remote_dev\git_clone.jpg","17.2","generic"
"AmpliPi","green_button.jpg","AmpliPi\docs\imgs\remote_dev\green_button.jpg","11.7","generic"
"AmpliPi","IMG_0030.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0030.png","340.6","generic"
"AmpliPi","IMG_0031.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0031.png","324.2","generic"
"AmpliPi","IMG_0032.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0032.png","324.3","generic"
"AmpliPi","IMG_0033.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0033.png","324.3","generic"
"AmpliPi","IMG_0034.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0034.png","324.6","generic"
"AmpliPi","IMG_0035.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0035.png","324.6","generic"
"AmpliPi","IMG_0036.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0036.png","324.6","generic"
"AmpliPi","IMG_0037.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0037.png","324.6","generic"
"AmpliPi","IMG_0038.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0038.png","324.6","generic"
"AmpliPi","IMG_0039.png","AmpliPi\docs\imgs\app_demos\expand_group_and_change_vols\IMG_0039.png","220.6","generic"
"AmpliPi","IMG_0048.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0048.png","230.6","generic"
"AmpliPi","IMG_0049.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0049.png","273.6","generic"
"AmpliPi","IMG_0050.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0050.png","268.5","generic"
"AmpliPi","IMG_0051.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0051.png","259.8","generic"
"AmpliPi","IMG_0052.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0052.png","250.9","generic"
"AmpliPi","IMG_0053.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0053.png","229.2","generic"
"AmpliPi","IMG_0054.png","AmpliPi\docs\imgs\app_demos\change_source\IMG_0054.png","297.8","generic"
"AmpliPi","IMG_0057.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0057.png","313.9","generic"
"AmpliPi","IMG_0058.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0058.png","224","generic"
"AmpliPi","IMG_0059.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0059.png","232.6","generic"
"AmpliPi","IMG_0060.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0060.png","238.1","generic"
"AmpliPi","IMG_0061.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0061.png","311.7","generic"
"AmpliPi","IMG_0062.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0062.png","307.6","generic"
"AmpliPi","IMG_0063.png","AmpliPi\docs\imgs\app_demos\add_group_to_source\IMG_0063.png","311.5","generic"
"AmpliPi","internals_photo_labelled.drawio.svg","AmpliPi\hw\diagrams\internals_photo_labelled.drawio.svg","1425.6","generic"
"AmpliPi","micronova_320x240.png","AmpliPi\amplipi\display\imgs\micronova_320x240.png","13.8","generic"
"AmpliPi","micronova-square.png","AmpliPi\web\static\imgs\micronova-square.png","52.1","generic"
"AmpliPi","micronova-white-on-black.png","AmpliPi\web\static\imgs\micronova-white-on-black.png","26.8","generic"
"AmpliPi","pandora.png","AmpliPi\web\static\imgs\pandora.png","20.9","generic"
"AmpliPi","pane.jpg","AmpliPi\docs\imgs\remote_dev\pane.jpg","17","generic"
"AmpliPi","pi_folders.jpg","AmpliPi\docs\imgs\remote_dev\pi_folders.jpg","15.1","generic"
"AmpliPi","Plexamp_Auth_button.jpg","AmpliPi\docs\imgs\Plexamp_Auth_button.jpg","33.6","generic"
"AmpliPi","Plexamp_sign_in.jpg","AmpliPi\docs\imgs\Plexamp_sign_in.jpg","50.4","generic"
"AmpliPi","plexamp.png","AmpliPi\web\static\imgs\plexamp.png","70.5","generic"
"AmpliPi","PreampIDE_Options.jpg","AmpliPi\docs\imgs\PreampIDE_Options.jpg","10.7","generic"
"AmpliPi","pst_check_done.PNG","AmpliPi\docs\imgs\app_demos\load_preset\pst_check_done.PNG","364.8","generic"
"AmpliPi","pst_done_update.PNG","AmpliPi\docs\imgs\app_demos\load_preset\pst_done_update.PNG","364.1","generic"
"AmpliPi","pst_expand.PNG","AmpliPi\docs\imgs\app_demos\load_preset\pst_expand.PNG","357.7","generic"
"AmpliPi","rca_inputs.jpg","AmpliPi\web\static\imgs\rca_inputs.jpg","7","generic"
"AmpliPi","rca_inputs.svg","AmpliPi\web\static\imgs\rca_inputs.svg","3.5","generic"
"AmpliPi","rear_panel_labelled.drawio.svg","AmpliPi\hw\diagrams\rear_panel_labelled.drawio.svg","2265","generic"
"AmpliPi","repo_in_vscode.jpg","AmpliPi\docs\imgs\remote_dev\repo_in_vscode.jpg","26.7","generic"
"AmpliPi","reset.jpg","AmpliPi\docs\imgs\reset.jpg","13.5","generic"
"AmpliPi","rest_api_overview.svg","AmpliPi\docs\imgs\rest_api_overview.svg","362.6","generic"
"AmpliPi","shairport.png","AmpliPi\web\static\imgs\shairport.png","7","generic"
"AmpliPi","signal_diagram.drawio.svg","AmpliPi\hw\diagrams\signal_diagram.drawio.svg","4121.7","generic"
"AmpliPi","speaker_wire_to_pheonix.jpg","AmpliPi\docs\imgs\speaker_wire_to_pheonix.jpg","278.8","generic"
"AmpliPi","spotify.png","AmpliPi\web\static\imgs\spotify.png","13.3","generic"
"AmpliPi","ssh_plusadd.jpg","AmpliPi\docs\imgs\remote_dev\ssh_plusadd.jpg","11.3","generic"
"AmpliPi","terminal_repo.jpg","AmpliPi\docs\imgs\remote_dev\terminal_repo.jpg","5.1","generic"
"AmpliPi","try.jpg","AmpliPi\docs\imgs\try.jpg","10.2","generic"
"AmpliPi","vs_explorer.jpg","AmpliPi\docs\imgs\remote_dev\vs_explorer.jpg","23","generic"
"AmpliPi","zone_speaker_connection.svg","AmpliPi\docs\imgs\zone_speaker_connection.svg","8.5","generic"
"AmpliPi","amplipi_icon_black.png","AmpliPi\web\static\imgs\amplipi_icon_black.png","62","name-match"
"AmpliPi","amplipi_icon_white.png","AmpliPi\web\static\imgs\amplipi_icon_white.png","86.9","name-match"
"AmpliPi","amplipi-small-logo.png","AmpliPi\amplipi\updater\static\imgs\amplipi-small-logo.png","6.8","name-match"
"AmpliPi","amplipi-small-logo.png","AmpliPi\web\static\imgs\amplipi-small-logo.png","6.8","name-match"
"AmpliPi","fa-brands-400.svg","AmpliPi\web\static\css\libs\font-awesome\webfonts\fa-brands-400.svg","733.7","name-match"
"AmpliPi","fa-brands-400.svg","AmpliPi\amplipi\updater\static\css\libs\font-awesome\webfonts\fa-brands-400.svg","733.7","name-match"
"Civium","AISA_System_Architecture_Diagram (1).png","Civium\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram (1).png","119.8","generic"
"Civium","AISA_System_Architecture_Diagram.png","Civium\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram.png","119.8","generic"
"Civium","Evomap_Mockup_v1.png","Civium\projects\website\Evomap_Mockup_v1.png","1472.3","generic"
"Civium","PXL_20250805_191804037.jpg","Civium\admin\inbox\GmailDump_20250811\originals\PXL_20250805_191804037.jpg","2201.1","generic"
"Civium","Logo_v1.png","Civium\projects\website\Logo_v1.png","1072.4","name-match"
"Civium-Constitution","connectome_repo_map_v0.1.png","Civium-Constitution\meta\deprecated\origins\meta\connectome_repo_map_v0.1.png","1249.3","generic"
"Civium-Constitution","scroll_dependency_map.png","Civium-Constitution\maps\scroll_dependency_map.png","278.8","generic"
"Civium-Constitution","scroll_dependency_map.png","Civium-Constitution\meta\deprecated\scrolls\scroll_dependency_map.png","278.8","generic"
"Civium-Constitution","thinking_constitution.svg","Civium-Constitution\maps\thinking_constitution.svg","0.1","generic"
"CoAgent","favicon.ico","CoAgent\app\assets\favicon.ico","0.1","name-match"
"CoAgent","logo.png","CoAgent\app\assets\logo.png","0.1","name-match"
"CoArena","cocivium_status_amber.svg","CoArena\docs\assets\brand\cocivium_status_amber.svg","0.3","folder-match"
"CoArena","cocivium_status_gray.svg","CoArena\docs\assets\brand\cocivium_status_gray.svg","0.3","folder-match"
"CoArena","cocivium_status_green.svg","CoArena\docs\assets\brand\cocivium_status_green.svg","0.3","folder-match"
"CoArena","cocivium_status_red.svg","CoArena\docs\assets\brand\cocivium_status_red.svg","0.3","folder-match"
"CoArena","7742cf74-8e06-4274-9a9b-849a38fc964c.png","CoArena\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\7742cf74-8e06-4274-9a9b-849a38fc964c.png","326.4","generic"
"CoArena","cea73f29-eb48-49ff-8540-b35c569d1e96.png","CoArena\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\cea73f29-eb48-49ff-8540-b35c569d1e96.png","334.6","generic"
"CoArena","heartbeat.fsMs.svg","CoArena\docs\assets\metrics\heartbeat.fsMs.svg","0.3","generic"
"CoArena","OldeVillagePeople.png","CoArena\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\OldeVillagePeople.png","1629.7","generic"
"CoArena","quad.svg","CoArena\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cadi\docs\assets\quad.svg","1.1","generic"
"CoArena","quadrant-plot.svg","CoArena\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cpda\docs\assets\quadrant-plot.svg","1.1","generic"
"CoArena","radar-readiness.svg","CoArena\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cpda\docs\assets\radar-readiness.svg","1.1","generic"
"CoArena","radar.svg","CoArena\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cadi\docs\assets\radar.svg","1.1","generic"
"CoArena","req-resp-map.svg","CoArena\web\public\diagrams\req-resp-map.svg","0.9","generic"
"CoArena","cocivium_logo_amber_tm.svg","CoArena\docs\assets\brand\cocivium_logo_amber_tm.svg","0.3","name-match"
"CoArena","cocivium_logo_amber.svg","CoArena\docs\assets\brand\cocivium_logo_amber.svg","0.3","name-match"
"CoArena","cocivium_logo_gray_tm.svg","CoArena\docs\assets\brand\cocivium_logo_gray_tm.svg","0.3","name-match"
"CoArena","cocivium_logo_gray.svg","CoArena\docs\assets\brand\cocivium_logo_gray.svg","0.3","name-match"
"CoArena","cocivium_logo_green_tm.svg","CoArena\docs\assets\brand\cocivium_logo_green_tm.svg","0.3","name-match"
"CoArena","cocivium_logo_green.svg","CoArena\docs\assets\brand\cocivium_logo_green.svg","0.3","name-match"
"CoArena","cocivium_logo_red_tm.svg","CoArena\docs\assets\brand\cocivium_logo_red_tm.svg","0.3","name-match"
"CoArena","cocivium_logo_red.svg","CoArena\docs\assets\brand\cocivium_logo_red.svg","0.3","name-match"
"CoCache","cocivium_status_amber.svg","CoCache\docs\assets\brand\cocivium_status_amber.svg","0.3","folder-match"
"CoCache","cocivium_status_gray.svg","CoCache\docs\assets\brand\cocivium_status_gray.svg","0.3","folder-match"
"CoCache","cocivium_status_green.svg","CoCache\docs\assets\brand\cocivium_status_green.svg","0.3","folder-match"
"CoCache","cocivium_status_red.svg","CoCache\docs\assets\brand\cocivium_status_red.svg","0.3","folder-match"
"CoCache","7742cf74-8e06-4274-9a9b-849a38fc964c.png","CoCache\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\7742cf74-8e06-4274-9a9b-849a38fc964c.png","326.4","generic"
"CoCache","cea73f29-eb48-49ff-8540-b35c569d1e96.png","CoCache\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\cea73f29-eb48-49ff-8540-b35c569d1e96.png","334.6","generic"
"CoCache","heartbeat.fsMs.svg","CoCache\docs\assets\metrics\heartbeat.fsMs.svg","0.3","generic"
"CoCache","OldeVillagePeople.png","CoCache\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\OldeVillagePeople.png","1629.7","generic"
"CoCache","quad.svg","CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cadi\docs\assets\quad.svg","1.1","generic"
"CoCache","quadrant-plot.svg","CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cpda\docs\assets\quadrant-plot.svg","1.1","generic"
"CoCache","radar-readiness.svg","CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cpda\docs\assets\radar-readiness.svg","1.1","generic"
"CoCache","radar.svg","CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cadi\docs\assets\radar.svg","1.1","generic"
"CoCache","cocivium_logo_amber_tm.svg","CoCache\docs\assets\brand\cocivium_logo_amber_tm.svg","0.3","name-match"
"CoCache","cocivium_logo_amber.svg","CoCache\docs\assets\brand\cocivium_logo_amber.svg","0.3","name-match"
"CoCache","cocivium_logo_gray_tm.svg","CoCache\docs\assets\brand\cocivium_logo_gray_tm.svg","0.3","name-match"
"CoCache","cocivium_logo_gray.svg","CoCache\docs\assets\brand\cocivium_logo_gray.svg","0.3","name-match"
"CoCache","cocivium_logo_green_tm.svg","CoCache\docs\assets\brand\cocivium_logo_green_tm.svg","0.3","name-match"
"CoCache","cocivium_logo_green.svg","CoCache\docs\assets\brand\cocivium_logo_green.svg","0.3","name-match"
"CoCache","cocivium_logo_red_tm.svg","CoCache\docs\assets\brand\cocivium_logo_red_tm.svg","0.3","name-match"
"CoCache","cocivium_logo_red.svg","CoCache\docs\assets\brand\cocivium_logo_red.svg","0.3","name-match"
